Name,Address,Stars,Reviews,Phone,Hours,Website,GoogleURL
Hello beauty spa," C. 19 Sur 4514",4.9,19,,,,https://www.google.com/maps/place/Hello+beauty+spa/data=!4m7!3m6!1s0x85cfc723f4220e3d:0x42aaf45da204aa79!8m2!3d19.0334033!4d-98.2220307!16s%2Fg%2F11mv22fvdq!19sChIJPQ4i9CPHz4UReaoEol30qkI?authuser=0&hl=es-419&rclk=1
Moon Head Spa," Atlixcáyotl 3246",4.3,4,,,,https://www.google.com/maps/place/Moon+Head+Spa/data=!4m7!3m6!1s0x85cfc70028677dd3:0x81671d901772526d!8m2!3d19.0179803!4d-98.2517124!16s%2Fg%2F11yc4rx7gj!19sChIJ031nKADHz4URbVJyF5AdZ4E?authuser=0&hl=es-419&rclk=1
Soham spa," Blvd. Capitán Carlos Camacho Espíritu #5908-local C",4.9,39,,,,https://www.google.com/maps/place/Soham+spa/data=!4m7!3m6!1s0x85cfc1837a94b7db:0x1b09ae60091b693d!8m2!3d19.0164622!4d-98.2100856!16s%2Fg%2F11p4911y_p!19sChIJ27eUeoPBz4URPWkbCWCuCRs?authuser=0&hl=es-419&rclk=1
Reynitas Body & Beauty Spa Lomas," Blvrd Interamericano",4.6,13,,,,https://www.google.com/maps/place/Reynitas+Body+%26+Beauty+Spa+Lomas/data=!4m7!3m6!1s0x85cfb9259e298b73:0x9ed8cca32a12de89!8m2!3d19.0155521!4d-98.2530814!16s%2Fg%2F11r8x2td_j!19sChIJc4spniW5z4URid4SKqPM2J4?authuser=0&hl=es-419&rclk=1
ZIANYA SPA," Blvd. Municipio Libre no 31",5.0,21,,,,https://www.google.com/maps/place/ZIANYA+SPA/data=!4m7!3m6!1s0x85cfb8acc0116fa3:0x110cae3e7da413a2!8m2!3d18.997547!4d-98.222621!16s%2Fg%2F1ptwqxmfx!19sChIJo28RwKy4z4URohOkfT6uDBE?authuser=0&hl=es-419&rclk=1
PLAYA spa," Gabino Barreda 122-a",5.0,2,,,,https://www.google.com/maps/place/PLAYA+spa/data=!4m7!3m6!1s0x85cfc71ecba5364b:0x83b3da9e413b1780!8m2!3d19.0300799!4d-98.2262415!16s%2Fg%2F11s4v70gbv!19sChIJSzalyx7Hz4URgBc7QZ7as4M?authuser=0&hl=es-419&rclk=1
Casa Bambuu SPA," Blvd Municipio Libre 1923 L51 Plaza Paseo Destino Local 51 11 sur, Av. Las Torres",5.0,3,,,,https://www.google.com/maps/place/Casa+Bambuu+SPA/data=!4m7!3m6!1s0x85cfc71aeff0457d:0xeaf97c4a12aad00a!8m2!3d19.0087954!4d-98.2455155!16s%2Fg%2F11x182wmkb!19sChIJfUXw7xrHz4URCtCqEkp8-eo?authuser=0&hl=es-419&rclk=1
SPA & LASER MARIA TERESA RODS," Av 55 Pte 709 72430",4.6,22,,,,https://www.google.com/maps/place/SPA+%26+LASER+MARIA+TERESA+RODS/data=!4m7!3m6!1s0x85cfc0b383bcbc85:0x4478cc403266f77f!8m2!3d19.0222477!4d-98.2183121!16s%2Fg%2F1ptwyn22j!19sChIJhby8g7PAz4URf_dmMkDMeEQ?authuser=0&hl=es-419&rclk=1
Antonella SPA," C. 3 Rtno. 5 a Sur 12",4.7,24,,,,https://www.google.com/maps/place/Antonella+SPA/data=!4m7!3m6!1s0x85cfb9a77ac637c7:0x478e7c9ac4680774!8m2!3d18.992899!4d-98.2352485!16s%2Fg%2F11rhnp5cn_!19sChIJxzfGeqe5z4URdAdoxJp8jkc?authuser=0&hl=es-419&rclk=1
Saravá Spa," Jacarandas 302",5.0,16,,,,https://www.google.com/maps/place/Sarav%C3%A1+Spa/data=!4m7!3m6!1s0x85cfc1551c7f65e7:0x449786d3ce25ed49!8m2!3d19.0204133!4d-98.214655!16s%2Fg%2F11lllhnjlw!19sChIJ52V_HFXBz4URSe0lztOGl0Q?authuser=0&hl=es-419&rclk=1
Mareli Wellness Spa," Prol. 11 Sur 7114-piso1",0.0,0,,,,https://www.google.com/maps/place/Mareli+Wellness+Spa/data=!4m7!3m6!1s0x85cfc7cf2882d0d1:0x18e22eb65f28559d!8m2!3d19.0141561!4d-98.2324639!16s%2Fg%2F11xymwtr0x!19sChIJ0dCCKM_Hz4URnVUoX7Yu4hg?authuser=0&hl=es-419&rclk=1
Model Art Spa Ánimas," Blvrd Atlixco 3115-Interior 1",4.8,44,,,,https://www.google.com/maps/place/Model+Art+Spa+%C3%81nimas/data=!4m7!3m6!1s0x85cfc7eaea256349:0xcc3f6d162f89fb00!8m2!3d19.0459389!4d-98.2351793!16s%2Fg%2F11n09sdhdv!19sChIJSWMl6urHz4URAPuJLxZtP8w?authuser=0&hl=es-419&rclk=1
Maära Spa and Beauty," Priv. 25 Sur 3931-Planta Baja Locales 2 y 3",4.5,46,,,,https://www.google.com/maps/place/Ma%C3%A4ra+Spa+and+Beauty/data=!4m7!3m6!1s0x85cfc7c883859aaf:0x1a368e8f134e9529!8m2!3d19.0380791!4d-98.226563!16s%2Fg%2F11kx9s5mrj!19sChIJr5qFg8jHz4URKZVOE4-ONho?authuser=0&hl=es-419&rclk=1
Spezzia Spa," De La 37 Sur 2115 D",4.9,15,,,,https://www.google.com/maps/place/Spezzia+Spa/data=!4m7!3m6!1s0x85cfc7834422b009:0x1dce19d354eac676!8m2!3d19.0501347!4d-98.2313247!16s%2Fg%2F11xgs6cvvv!19sChIJCbAiRIPHz4URdsbqVNMZzh0?authuser=0&hl=es-419&rclk=1
